,Mean Day +1,Variance Day +1,Standard Deviation Day +1
transportation,1.4762762981230342,1.4869359980291397,1.2193998515782833
materials,1.359140968913932,1.5474204936532756,1.2439535737531668
consumer-services,2.092266208445161,5.251097153388873,2.2915272534684967
energy,1.4735256362285654,1.233220859764649,1.1105047770111793
pharmaceuticals-biotech,1.9011769295652805,2.1986848417189786,1.4827962913761885
healthcare,2.654354183437822,9.017374971540974,3.0028944323004385
consumer-retailing,1.4210486609318005,1.5414243368957323,1.241541113655014
real-estate,0.8686880295606976,1.2520477995772092,1.1189494177920687
capital-goods,1.5299324402694976,4.231745098146749,2.05712058425041
retail,2.2409781614518507,4.536932070155461,2.1300075281922037
software,3.851837891161584,16.358295543670536,4.044538977889882
utilities,0.6847529516527724,0.35774323540980457,0.5981164062369503
food-beverage-tobacco,1.7489538105392883,6.174828807848911,2.4849202819907346
telecom,1.8443386766387462,2.0891936309133072,1.4454043139942911
automobiles,1.162688441879256,0.5317440405189457,0.7292078170994506
diversified-financials,1.7151330819188355,11.592590335640626,3.404789323238756
consumer-durables,2.163697719684892,6.534572095656205,2.5562809109439057
household,1.9313933065757094,3.600014989897338,1.8973705462817056
tech,1.9853561453518986,2.9341510350479605,1.7129363779918858
banks,0.9801840737004006,0.29817146310906556,0.5460507880308072
insurance,1.7236593627999433,14.124234811311666,3.758222294025683
semiconductors,2.4595504426244523,6.016402659332582,2.4528356364282913
commercial-services,1.4048459784048577,2.3117806475930904,1.5204540925634982
media,2.647266498044607,8.245564329013304,2.871509068245006
